gene,pathway,TCGA.KL.8332.01A,TCGA.KN.8426.11A,TCGA.KN.8423.01A,TCGA.KL.8327.01A,TCGA.KO.8409.01A,TCGA.KN.8430.01A,TCGA.KN.8422.11A,TCGA.KL.8338.01A,TCGA.KN.8432.11A,TCGA.KN.8429.01A,TCGA.KO.8415.11A,TCGA.KN.8436.11A,TCGA.KN.8432.01A,TCGA.KN.8424.11A,TCGA.KL.8324.11A,TCGA.KN.8437.01A,TCGA.KL.8342.01A,TCGA.KM.8443.01A,TCGA.KN.8434.01A,TCGA.KN.8429.11A,TCGA.KL.8329.01A,TCGA.KN.8435.11A,TCGA.KM.8477.01A,TCGA.KL.8331.01A,TCGA.KO.8403.01A,TCGA.KN.8419.11A,TCGA.KN.8433.01A,TCGA.KL.8334.01A,TCGA.KN.8424.01A,TCGA.KO.8417.01A,TCGA.KN.8430.11A,TCGA.KM.8639.01A,TCGA.KN.8421.01A,TCGA.KN.8428.01A,TCGA.KN.8427.01A,TCGA.KN.8436.01A,TCGA.KM.8442.01A,TCGA.KN.8418.01A,TCGA.KM.8438.01A,TCGA.KN.8425.01A,TCGA.KL.8323.01A,TCGA.KN.8437.11A,TCGA.KN.8435.01A,TCGA.KL.8346.01A,TCGA.KL.8326.01A,TCGA.KO.8414.01A,TCGA.KM.8441.01A,TCGA.KN.8428.11A,TCGA.KO.8406.01A,TCGA.KL.8336.11A,TCGA.KN.8431.01A,TCGA.KO.8410.01A,TCGA.KN.8423.11A,TCGA.KL.8339.01A,TCGA.KL.8325.01A,TCGA.KL.8330.01A,TCGA.KL.8343.01A,TCGA.KL.8326.11A,TCGA.KN.8425.11A,TCGA.KL.8340.01A,TCGA.KL.8336.01A,TCGA.KN.8431.11A,TCGA.KO.8403.11A,TCGA.KM.8440.01A,TCGA.KN.8427.11A,TCGA.KL.8333.01A,TCGA.KN.8434.11A,TCGA.KO.8407.01A,TCGA.KO.8408.01A,TCGA.KL.8339.11A,TCGA.KN.8426.01A,TCGA.KL.8341.01A,TCGA.KM.8476.01A,TCGA.KN.8433.11A,TCGA.KL.8328.01A,TCGA.KO.8413.01A,TCGA.KO.8405.01A,TCGA.KO.8404.01A,TCGA.KO.8416.01A,TCGA.KL.8344.01A,TCGA.KL.8335.01A,TCGA.KO.8411.01A,TCGA.KL.8345.01A,TCGA.KL.8324.01A,TCGA.KL.8329.11A,TCGA.KO.8415.01A,TCGA.KL.8337.01A,TCGA.KM.8439.01A,TCGA.KN.8419.01A
VCAN,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,13.154684,18.00205924,13.6167882,12.60133148,12.79926164,17.04848777,15.59823635,12.84255798,15.03570579,13.946742,15.81190175,15.68832347,13.73750469,15.42757895,16.04268863,13.22231341,15.16641506,11.12314901,14.43210078,15.94372623,14.64856689,17.86649806,16.09713033,13.47620004,12.46519438,15.01630142,15.27018808,15.75785678,15.22003254,13.27796203,14.43230575,12.91407449,10.78491102,16.60930942,19.68698145,12.75670152,15.78764597,14.09149135,14.53506461,13.56299958,15.16633533,17.38885414,15.11263598,14.44194798,11.6101975,13.68081926,16.06824903,15.74991584,12.75100868,19.10696382,13.0209799,14.56778762,18.23802841,13.80474426,12.43280182,12.63944593,14.34874262,15.54110455,14.55094734,13.69816326,13.93650597,14.68332505,16.09542934,12.57746384,16.10404123,17.29863726,14.51931395,14.09339126,16.63737312,15.27007588,14.21488231,13.41312564,12.76962671,15.33055356,12.55717033,14.89124589,17.62758709,18.92903084,14.5344562,17.5172379,18.09829087,11.19228444,13.09744267,13.14451318,16.20750481,14.16055486,13.09050744,14.16780746,14.70751034
PFKFB3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,18.52303054,22.34624929,16.72477707,15.09351361,16.33399927,18.26792902,21.04679681,16.18267723,21.30386102,17.29683425,21.07663124,22.27639594,18.77304071,20.80299531,19.68538463,17.43611537,16.44241965,14.04411913,16.72808793,22.13561767,16.86841083,20.5487666,20.49634273,16.19901398,16.74235947,21.18550662,16.96472028,15.85052676,17.62321676,13.72583741,22.64476284,17.51016302,17.98025271,17.18062712,18.91805994,16.83940535,17.459353,16.84945385,17.6206762,17.39576886,18.7220021,19.36347088,16.04656331,16.43054536,16.19560712,18.06592621,19.12800713,19.37892169,14.53872816,19.52576997,18.42455988,19.26134459,22.73198257,16.80028837,18.33108668,16.81923875,15.73139968,20.03165743,21.48976796,16.50186414,17.38815221,22.21266649,21.71850763,15.0405969,21.56984844,19.0436835,19.59338895,15.81172839,16.66707085,19.34102,17.34382507,15.47354536,15.09780989,19.94926086,17.80394606,18.51705476,17.90609497,19.25875461,16.09201303,18.06055637,19.66346024,14.29361899,15.27136273,17.86572187,19.4565658,18.31749894,16.19117279,17.83303725,18.83201668
AK4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,16.92064136,16.6410981,10.45340406,13.13292294,10.78997477,12.46223803,18.90100911,14.49174878,16.57248834,12.23956543,18.55841396,16.86150802,9.566433659,17.33679362,20.19689542,16.6624527,12.59320985,13.85686088,12.69596153,15.54672574,14.05419861,20.2788636,13.19009696,14.55486921,13.02944836,17.72420067,14.61573101,14.39858459,12.2260981,11.09300358,16.30838665,15.10623855,13.04672163,16.57462047,17.21058369,13.41047905,15.07794249,12.92031418,12.91433843,9.635576629,16.13275846,16.30222018,15.8011661,15.58743485,12.13949752,11.69331121,14.60556748,19.54685202,11.99364085,17.46182494,10.35836435,11.42768022,16.46789962,11.05102399,14.3644708,12.55507504,12.58428091,20.21290495,16.16862482,12.66015077,14.13022961,16.87964176,15.95012848,11.08030307,16.92030323,13.72851515,20.06962517,12.00431771,17.03296514,20.36291405,11.08303904,15.63217074,12.67125393,20.21062909,16.0383856,10.66254597,11.57276078,17.57093714,15.1230369,13.21745767,15.42905767,15.0850287,13.42380746,12.44091483,20.40728225,13.9396584,11.71372361,9.333916814,10.92777291
ANG,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,13.08864765,15.79458873,12.13603129,9.518165372,13.27756916,13.99588026,16.3792285,12.17617487,16.71558576,12.82214606,16.6399732,16.28879276,13.10799855,16.21713148,17.8367789,13.24485457,13.72969792,12.95289234,12.76785222,16.53937477,14.05441457,17.04367642,13.13123711,13.46431309,13.80714722,16.85114883,14.73612619,13.77694183,13.18299595,12.89566978,15.76163438,13.34577984,14.64742531,14.67091862,15.39493761,14.52904688,13.87058711,12.49099156,12.70719241,12.84711447,14.62941852,16.80365448,13.11839476,13.22517389,12.12209197,13.21618604,13.6285068,16.36120325,12.22946448,17.10934226,11.02679298,12.77871593,16.17262045,13.12510145,12.68296096,13.75429082,13.40501847,16.4295625,16.30735886,12.87523833,13.45309043,16.32833937,15.57256123,12.32525509,16.42035141,14.57380207,17.25361527,12.92452725,14.66155672,18.07463452,12.86387853,12.58109212,13.8545397,17.94015658,14.6980239,14.16707171,15.43476006,16.7563494,14.04525547,12.57894988,13.89045391,12.39653919,12.58939794,13.95088509,17.71263632,14.24590716,11.38267084,13.11615564,12.69562168
DCN,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,7.536611283,20.24126302,11.85628072,13.63436772,13.99009163,15.07927918,19.81435926,12.02267122,19.49587283,11.10456512,20.23150522,19.19246663,14.06985759,19.35948165,20.02812341,16.23246474,14.38543691,6.798386028,13.03787777,19.08445426,15.2186086,20.0472842,14.92540155,13.81870951,11.7656474,19.81358958,16.56632649,12.93160736,13.94312571,12.97905174,17.42938066,15.53822307,13.90136158,15.98852742,17.78562227,14.75401104,14.11520534,13.16333013,10.54060111,14.70832353,10.28031365,20.62929098,14.08992015,11.1816824,14.66497276,12.08244568,17.2666549,20.07843647,13.08681725,20.45434535,7.864958702,14.84888466,21.25086502,12.73831996,11.84921191,10.79410556,16.02154311,20.55749766,18.05643102,13.28231679,12.47257191,18.1694338,19.44434259,14.19952634,17.4756939,19.08075385,19.55494331,10.39961166,16.78188179,20.5524601,10.43434911,10.73628627,13.44803929,18.89663626,11.56957406,15.20132099,18.01625739,21.58946854,13.16596343,13.6125585,17.51662546,14.73501207,13.55533835,13.20908618,19.64033475,14.38270938,12.99923349,14.94695931,14.25605393
HS6ST2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,9.229667424,17.23506789,7.034003008,8.728770738,0,8.481084313,18.53615612,12.79332074,17.40605495,8.918623611,18.07683527,18.11181248,0,17.68473131,17.45663816,14.71775427,7.660507522,8.166908612,9.201659685,16.42661755,9.521302912,17.80448412,7.70332858,9.715713837,8.146846231,17.85408116,7.148095535,7.294786446,7.192454445,6.367344123,17.33203803,18.84677762,8.004187913,9.012464466,9.913692583,9.932277931,7.206816364,6.259434956,10.53009917,7.258188443,9.033931218,14.94115591,6.258902373,8.630482868,0,0,14.99288499,17.52119158,6.287003555,14.78215537,8.653894661,7.296447366,16.27406682,6.397133358,8.573774347,6.281581698,10.61497532,16.24123751,18.41332166,7.568275537,6.431021862,17.52019749,17.7985635,6.463126449,18.19051203,10.06179697,18.30333663,6.505620839,9.457686426,17.79388779,6.503877253,6.005307366,0,19.00136071,8.287273836,10.0555911,8.222470671,12.81595898,6.840717003,10.06933503,6.530259934,6.452088973,8.801570345,0,16.94223343,7.846574232,8.746665735,11.43260002,8.738031615
SLC2A5,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,10.37750225,13.76784348,10.17335717,9.291862152,10.68909003,12.79632396,14.12290723,11.37861048,13.36894942,11.3548518,13.24586978,12.99146371,9.745375549,12.43002118,17.43955691,13.41412892,11.26253311,7.732870349,12.0649062,11.13582486,12.79522869,17.07979819,13.24941509,8.434369075,12.80767884,15.1057638,11.34649087,11.85015229,12.79134723,8.502899993,11.74689448,14.50985518,8.304286952,12.32902864,12.93600428,9.719098231,12.10138823,9.129178259,10.30091064,11.67134926,12.53421151,13.62583341,9.71274271,9.514931815,7.444007924,10.99010603,13.24625262,15.63912033,10.08186044,13.92801601,8.219349755,10.43743628,12.95450828,10.85177725,10.98288552,10.22063584,11.21447876,15.56059775,11.4745527,10.58521749,12.04482708,13.39596276,10.96810251,8.016455625,12.97035248,13.21774575,16.9354368,11.44668199,11.43538421,17.89374953,12.98300016,11.56970637,12.23076912,16.94232246,9.848406716,11.55750551,13.6968169,16.94411231,12.88431144,10.83091574,9.88763726,10.0011172,7.051514765,10.54678364,17.38955684,13.40461823,9.572426202,13.86849212,11.15745406
ATP6V0D2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,22.93143087,18.24347225,23.72101069,22.55781723,24.17801052,23.84604384,19.50313322,23.85807769,20.24913511,23.08434039,20.71608978,18.82134307,22.46786213,19.89299085,19.5697336,18.11162403,23.86958642,24.45604665,23.64167101,20.97399059,23.27319509,19.47125674,23.51431899,23.82274047,23.80993175,18.81683156,21.96153335,24.05450788,23.54436866,23.12542847,20.58925721,20.93264228,22.83035835,22.80066187,12.48367913,22.13111088,23.19416344,23.87590023,23.35221454,23.65683651,23.74589369,17.58677591,23.57918769,23.45939052,24.15111407,22.5999237,20.98167231,20.75258698,23.79431672,19.461423,23.58481825,24.26013497,18.66800514,23.63192138,23.86125662,23.81702267,23.73536075,20.77083612,20.18199023,23.46785015,23.66402244,20.33182691,19.2278689,23.950058,19.63555486,23.34959725,20.87205418,23.38829721,23.64918731,20.98771685,23.69618537,22.62078095,22.98883816,19.11065774,24.08372221,23.45158492,23.3803545,17.15307063,23.2293579,22.61279017,23.70403757,23.16292981,24.22698575,23.18826607,20.03845748,23.35399754,22.44608508,20.65596432,23.58220098
SLC2A4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,15.1730024,14.44771712,15.84470744,18.67571466,18.7207632,19.07288473,14.68192796,20.40277986,13.81988967,17.03888917,15.11605955,14.4231529,16.24597298,14.83403772,14.871611,16.95266304,18.98537026,18.78873894,18.82047659,14.69789582,18.7662121,14.62228407,16.59777829,19.47444216,19.31881119,15.51697997,19.5410044,19.59342438,17.86683899,18.06270748,14.77701677,14.61545931,18.79670474,16.59005089,10.82482923,15.5158013,17.50139481,19.54258141,20.39559432,18.72643796,18.8863131,15.88911815,19.09919722,17.69115731,18.33303667,19.77473031,17.45802174,14.70972102,17.55382581,12.91432987,20.4928474,16.60135858,14.27383382,16.34447208,15.82151745,18.37344873,18.46855775,14.46472521,15.02003777,19.41943642,19.21482514,13.83186531,14.49636891,20.53843611,14.03411081,17.32502786,14.50419038,19.1824859,20.39583836,14.83635242,17.92989791,18.93969127,19.39470956,15.44434341,20.14443547,16.17538278,17.85154353,13.37303061,18.471575,15.71384831,18.55813572,20.07639159,19.51348073,13.8696345,14.15529134,19.27434623,19.64486337,18.34238943,18.32935372
OGDHL,HALLMARK_OXIDATIVE_PHOSPHORYLATION,21.69924526,18.66695782,22.3247123,22.67304825,22.18213691,22.23912511,20.57004375,22.01617734,18.76796568,22.00548026,20.64272774,19.62254461,21.96611466,19.74539723,20.77378965,21.36696852,22.42492687,22.66651996,22.37469935,19.73885132,22.22376981,20.97040432,22.88978974,22.72123833,21.67047086,19.20145951,22.41856101,22.00309968,21.9975621,22.44870571,19.75713695,22.47403049,20.65752442,20.53049177,14.46516634,22.8215997,21.91255627,22.42566781,23.17575971,22.06395468,22.01557582,18.99234088,22.2232098,22.3997427,23.37962033,22.31886719,21.82135804,21.27864629,22.26085205,19.56880085,23.26018473,21.67514438,18.24741818,21.87090656,22.25431986,22.84284499,22.31760812,21.095894,19.67200383,22.14146091,23.14909246,19.69898781,19.36749549,21.36675189,20.28815375,21.1822309,21.66427527,22.01278396,21.86563704,21.47379825,22.05329884,22.28711509,22.30956027,21.14981036,22.50056888,22.16762783,21.35954416,12.03218997,22.40122792,22.27347785,22.5927135,22.47924118,22.28590509,23.40185919,21.16399087,22.4162823,22.33975543,22.19048978,23.15950869
PHYH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,19.29235991,18.87270544,20.97356133,19.99757054,20.65090416,21.35532242,19.39362633,19.87174697,19.75474375,19.52708279,19.28950653,18.59770921,19.67375691,19.22874626,20.16600547,20.21349499,20.93651217,20.1392879,20.19524435,19.34989425,19.63174113,19.21335402,21.19314883,21.05283629,20.99130514,19.41845692,21.39162003,20.16013058,20.05204929,19.91195865,19.01427743,19.74726249,19.13698261,20.54294895,18.80144471,20.79289077,20.53543795,19.86435194,21.44500952,20.17791455,19.74422313,17.8106009,21.12556302,20.28818526,20.64279185,20.50975438,20.81093416,19.95766551,20.12457915,17.99692315,21.36759301,20.05429218,18.90150902,20.59575563,20.94878492,21.35806117,20.57760819,19.8658055,18.60745917,20.53841059,21.31653996,18.72048939,18.72576431,20.73406372,19.64479951,19.89709414,20.5493301,19.76356608,20.97908541,20.75425832,20.66778313,21.00488529,19.80539316,20.46532238,20.74767515,21.06553669,20.86681474,16.73148985,20.71537195,19.4610331,21.26600938,20.08179285,20.89182478,20.75248262,19.92728498,20.50992703,20.0532536,20.34388809,21.35215133
ATP6V0D2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,22.93143087,18.24347225,23.72101069,22.55781723,24.17801052,23.84604384,19.50313322,23.85807769,20.24913511,23.08434039,20.71608978,18.82134307,22.46786213,19.89299085,19.5697336,18.11162403,23.86958642,24.45604665,23.64167101,20.97399059,23.27319509,19.47125674,23.51431899,23.82274047,23.80993175,18.81683156,21.96153335,24.05450788,23.54436866,23.12542847,20.58925721,20.93264228,22.83035835,22.80066187,12.48367913,22.13111088,23.19416344,23.87590023,23.35221454,23.65683651,23.74589369,17.58677591,23.57918769,23.45939052,24.15111407,22.5999237,20.98167231,20.75258698,23.79431672,19.461423,23.58481825,24.26013497,18.66800514,23.63192138,23.86125662,23.81702267,23.73536075,20.77083612,20.18199023,23.46785015,23.66402244,20.33182691,19.2278689,23.950058,19.63555486,23.34959725,20.87205418,23.38829721,23.64918731,20.98771685,23.69618537,22.62078095,22.98883816,19.11065774,24.08372221,23.45158492,23.3803545,17.15307063,23.2293579,22.61279017,23.70403757,23.16292981,24.22698575,23.18826607,20.03845748,23.35399754,22.44608508,20.65596432,23.58220098
CKMT1B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,17.06830627,11.96206887,16.14590681,18.29797639,18.35312437,17.57204115,13.31861245,17.45978007,12.68793226,16.29587516,13.65488161,13.73116873,16.1210473,13.8211834,13.49151058,15.50252383,17.64100947,17.27495069,17.56019466,13.27569148,16.3639732,13.59493683,17.67080879,17.81087568,17.45779597,11.8721613,17.41799045,17.38900957,16.71268055,17.48098328,13.5202854,15.22954122,15.04966894,16.40576521,7.730475356,16.26715715,16.39193859,16.38721667,17.02008425,17.63255555,17.19534323,13.20294626,16.34432353,17.06653625,16.6218352,17.41488044,16.82816247,14.23086316,17.09661033,14.0672563,17.2966536,14.8652879,13.14000082,16.83288309,16.88925975,17.46045901,16.20706794,14.13740888,13.38873064,16.77128139,17.00960402,13.08452002,13.06727068,16.65034812,14.15164167,16.2429132,13.97691075,17.35030175,17.83070303,13.97652566,16.18964582,16.01030291,18.76827445,13.91762728,18.17610606,16.77885653,17.93411912,0,17.65174019,12.93556629,16.21878762,17.77159573,17.38920306,16.38261671,13.76102034,18.29911329,17.05482902,15.37507159,17.96680856
ATP6V1B1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,22.12239193,18.79865299,23.04162105,23.9209656,23.90228052,23.04935033,20.39424831,22.94102237,19.62363425,22.15633288,21.09724964,19.50027059,22.03240962,20.09910733,21.02799842,16.85169542,23.56969296,23.09724599,22.80050834,20.94246828,22.13841883,20.83883464,22.10575693,23.0010559,22.35503211,19.0690945,23.34285016,22.74009811,21.96375255,23.27273792,20.92261533,19.74824565,23.92342292,21.41724147,13.82532209,21.83710747,22.26228386,22.66845931,23.43056412,23.16495846,21.74444589,19.7799304,22.56709516,24.13197236,24.68559112,23.35765444,21.27329607,21.60406521,22.50814054,18.72117184,23.19794321,24.06318222,18.50847128,21.94174722,22.00345851,23.88060324,23.47293393,21.37939331,19.60977961,22.16588541,22.78985473,20.21771579,18.57501804,23.44957881,20.23632934,22.33463463,21.80535798,23.07565018,23.01447852,21.08011923,22.02769716,22.39098702,22.56604721,21.25510253,22.82531228,22.9277808,22.05177296,15.98178855,22.54971754,21.11202126,23.00679877,21.99015632,22.99578892,23.01804079,20.9083108,23.75929979,22.5118096,20.94495746,23.2889812
ANG,HALLMARK_OXIDATIVE_PHOSPHORYLATION,13.08864765,15.79458873,12.13603129,9.518165372,13.27756916,13.99588026,16.3792285,12.17617487,16.71558576,12.82214606,16.6399732,16.28879276,13.10799855,16.21713148,17.8367789,13.24485457,13.72969792,12.95289234,12.76785222,16.53937477,14.05441457,17.04367642,13.13123711,13.46431309,13.80714722,16.85114883,14.73612619,13.77694183,13.18299595,12.89566978,15.76163438,13.34577984,14.64742531,14.67091862,15.39493761,14.52904688,13.87058711,12.49099156,12.70719241,12.84711447,14.62941852,16.80365448,13.11839476,13.22517389,12.12209197,13.21618604,13.6285068,16.36120325,12.22946448,17.10934226,11.02679298,12.77871593,16.17262045,13.12510145,12.68296096,13.75429082,13.40501847,16.4295625,16.30735886,12.87523833,13.45309043,16.32833937,15.57256123,12.32525509,16.42035141,14.57380207,17.25361527,12.92452725,14.66155672,18.07463452,12.86387853,12.58109212,13.8545397,17.94015658,14.6980239,14.16707171,15.43476006,16.7563494,14.04525547,12.57894988,13.89045391,12.39653919,12.58939794,13.95088509,17.71263632,14.24590716,11.38267084,13.11615564,12.69562168
B3GNT3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,8.015504851,17.90292761,10.71335883,9.831534921,10.00761767,11.04174179,16.37976901,12.0374483,19.21244133,10.24380651,18.05913706,19.25135683,7.96793141,16.896163,17.31995707,10.11918526,13.15041977,0,9.498433016,19.16169479,11.88733812,16.41553937,13.68372697,8.652246869,10.46974174,16.87285528,0,9.976548677,12.09482639,7.462549821,18.69265622,10.16879619,10.10445334,10.92235126,13.4249965,0,11.55001064,9.931504107,0,9.939750111,11.35870274,18.49479015,9.930965032,9.733118627,10.56200797,14.06903135,10.06902161,15.83908427,0,14.65208346,0,13.69571454,19.90106637,0,0,8.955372573,11.85653225,15.95623023,17.01581409,0,9.106370794,19.15034822,18.20451469,0,16.58962451,12.78190727,15.3234698,9.181688621,9.562127461,15.48777469,9.594344181,11.7315364,9.999681346,15.88314462,11.70959184,10.57480306,14.19676284,9.921831502,9.934134993,12.99218098,8.622814943,8.543971236,9.168461802,9.839858535,15.54216201,14.2303545,10.33443232,0,7.845519484
DCN,HALLMARK_OXIDATIVE_PHOSPHORYLATION,7.536611283,20.24126302,11.85628072,13.63436772,13.99009163,15.07927918,19.81435926,12.02267122,19.49587283,11.10456512,20.23150522,19.19246663,14.06985759,19.35948165,20.02812341,16.23246474,14.38543691,6.798386028,13.03787777,19.08445426,15.2186086,20.0472842,14.92540155,13.81870951,11.7656474,19.81358958,16.56632649,12.93160736,13.94312571,12.97905174,17.42938066,15.53822307,13.90136158,15.98852742,17.78562227,14.75401104,14.11520534,13.16333013,10.54060111,14.70832353,10.28031365,20.62929098,14.08992015,11.1816824,14.66497276,12.08244568,17.2666549,20.07843647,13.08681725,20.45434535,7.864958702,14.84888466,21.25086502,12.73831996,11.84921191,10.79410556,16.02154311,20.55749766,18.05643102,13.28231679,12.47257191,18.1694338,19.44434259,14.19952634,17.4756939,19.08075385,19.55494331,10.39961166,16.78188179,20.5524601,10.43434911,10.73628627,13.44803929,18.89663626,11.56957406,15.20132099,18.01625739,21.58946854,13.16596343,13.6125585,17.51662546,14.73501207,13.55533835,13.20908618,19.64033475,14.38270938,12.99923349,14.94695931,14.25605393
HS6ST2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,9.229667424,17.23506789,7.034003008,8.728770738,0,8.481084313,18.53615612,12.79332074,17.40605495,8.918623611,18.07683527,18.11181248,0,17.68473131,17.45663816,14.71775427,7.660507522,8.166908612,9.201659685,16.42661755,9.521302912,17.80448412,7.70332858,9.715713837,8.146846231,17.85408116,7.148095535,7.294786446,7.192454445,6.367344123,17.33203803,18.84677762,8.004187913,9.012464466,9.913692583,9.932277931,7.206816364,6.259434956,10.53009917,7.258188443,9.033931218,14.94115591,6.258902373,8.630482868,0,0,14.99288499,17.52119158,6.287003555,14.78215537,8.653894661,7.296447366,16.27406682,6.397133358,8.573774347,6.281581698,10.61497532,16.24123751,18.41332166,7.568275537,6.431021862,17.52019749,17.7985635,6.463126449,18.19051203,10.06179697,18.30333663,6.505620839,9.457686426,17.79388779,6.503877253,6.005307366,0,19.00136071,8.287273836,10.0555911,8.222470671,12.81595898,6.840717003,10.06933503,6.530259934,6.452088973,8.801570345,0,16.94223343,7.846574232,8.746665735,11.43260002,8.738031615
NDST3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,7.411470329,12.90082871,9.522552047,8.227823368,0,9.976111134,12.9713338,8.508125993,13.33654513,9.829899688,12.44593921,12.53869492,7.946034749,13.57744694,12.01960928,13.11313872,8.739338237,9.661299689,8.70031678,12.29130823,10.01836693,13.35086274,0,9.365825351,9.057132372,13.41402896,6.649962941,9.24501708,10.07385059,5.872241523,12.43020222,7.888623483,5.935007799,5.53867981,5.736705542,9.016188973,11.28019697,8.327576134,7.91726338,9.748048952,10.89880284,10.08405538,8.910502415,8.712879663,0,0,11.98464827,13.03297535,8.355419743,10.80772514,0,10.10811326,11.36058204,0,7.752398124,7.767190884,7.796268815,12.24293514,13.22743248,8.384542369,8.500791535,13.18098338,11.55919872,8.270923949,11.9507758,6.665475647,13.13168523,8.576039788,6.385665895,12.5317725,9.572387699,6.496377166,8.809580249,13.14203162,8.200236342,8.969789478,11.71569826,12.80545042,0,8.482205689,7.604597001,7.93904386,5.99681298,9.40339278,12.19441028,7.346819518,8.245700921,11.90409614,6.251348967
