"","VCAN","gly_colmean"
"TCGA.KL.8332.01A",13.1546840045717,-0.230575694617141
"TCGA.KN.8426.11A",18.0020592411469,0.860114588041205
"TCGA.KN.8423.01A",13.6167881970785,-0.182472134160399
"TCGA.KL.8327.01A",12.6013314766017,-0.395265624744785
"TCGA.KO.8409.01A",12.7992616444109,-0.453944921902339
"TCGA.KN.8430.01A",17.0484877679496,0.0752094579119848
"TCGA.KN.8422.11A",15.5982363480654,0.839672205379934
"TCGA.KL.8338.01A",12.8425579781481,-0.124685105928928
"TCGA.KN.8432.11A",15.0357057886065,0.762365782205952
"TCGA.KN.8429.01A",13.9467419986516,-0.462768357708473
"TCGA.KO.8415.11A",15.8119017511524,0.93963527793764
"TCGA.KN.8436.11A",15.6883234731444,0.723348660390405
"TCGA.KN.8432.01A",13.7375046892415,-0.549425934744801
"TCGA.KN.8424.11A",15.4275789543512,0.622880030239004
"TCGA.KL.8324.11A",16.0426886269373,1.01395087596409
"TCGA.KN.8437.01A",13.2223134113734,-0.112677173963227
"TCGA.KL.8342.01A",15.1664150593196,-0.097968027923959
"TCGA.KM.8443.01A",11.1231490102081,-0.800705383912506
"TCGA.KN.8434.01A",14.4321007790554,0.121034051751236
"TCGA.KN.8429.11A",15.9437262348344,0.71971762890424
"TCGA.KL.8329.01A",14.64856688882,-0.0148603933565389
"TCGA.KN.8435.11A",17.8664980557626,1.01020625000552
"TCGA.KM.8477.01A",16.097130329565,-0.436796101157116
"TCGA.KL.8331.01A",13.4762000397263,-0.336093762985808
"TCGA.KO.8403.01A",12.4651943793438,0.069055992051818
"TCGA.KN.8419.11A",15.0163014204913,0.920425272666213
"TCGA.KN.8433.01A",15.2701880750332,0.0319462921003347
"TCGA.KL.8334.01A",15.7578567782417,0.0882362933617129
"TCGA.KN.8424.01A",15.2200325389504,0.00699483789250168
"TCGA.KO.8417.01A",13.2779620345029,-0.70881059254621
"TCGA.KN.8430.11A",14.4323057459344,0.538796694403798
"TCGA.KM.8639.01A",12.9140744916803,-0.138457740511077
"TCGA.KN.8421.01A",10.7849110170849,-0.546443692051879
"TCGA.KN.8428.01A",16.6093094174219,-0.0895375959432188
"TCGA.KN.8427.01A",19.6869814547969,-0.278104521578151
"TCGA.KN.8436.01A",12.7567015218037,-0.759399680163965
"TCGA.KM.8442.01A",15.7876459656237,-0.160751094070788
"TCGA.KN.8418.01A",14.0914913497971,-0.534997718848446
"TCGA.KM.8438.01A",14.5350646063865,-0.649110984177877
"TCGA.KN.8425.01A",13.562999577269,-0.224286501426526
"TCGA.KL.8323.01A",15.166335333886,0.0306770806052292
"TCGA.KN.8437.11A",17.3888541396842,0.752730787632663
"TCGA.KN.8435.01A",15.1126359842514,-0.245462150647049
"TCGA.KL.8346.01A",14.4419479841785,-0.41067133699746
"TCGA.KL.8326.01A",11.6101975014533,-0.746065116340954
"TCGA.KO.8414.01A",13.6808192604949,-0.451264511468765
"TCGA.KM.8441.01A",16.0682490282777,0.0846995305167794
"TCGA.KN.8428.11A",15.74991583709,0.754306455737685
"TCGA.KO.8406.01A",12.7510086816014,-0.354466682353847
"TCGA.KL.8336.11A",19.1069638172539,0.650674619058224
"TCGA.KN.8431.01A",13.0209798964895,-1.12792203679156
"TCGA.KO.8410.01A",14.5677876186689,-0.167514600723205
"TCGA.KN.8423.11A",18.2380284097416,0.911051525283912
"TCGA.KL.8339.01A",13.8047442633887,-0.66269436036771
"TCGA.KL.8325.01A",12.4328018167943,-0.215637262158248
"TCGA.KL.8330.01A",12.639445925648,-0.502973769927672
"TCGA.KL.8343.01A",14.3487426246995,-0.358796039220356
"TCGA.KL.8326.11A",15.5411045529039,0.834642622108034
"TCGA.KN.8425.11A",14.5509473368734,0.425213368214465
"TCGA.KL.8340.01A",13.6981632568023,-0.192585018994273
"TCGA.KL.8336.01A",13.9365059735162,-0.468362063699642
"TCGA.KN.8431.11A",14.6833250485232,0.733965645163482
"TCGA.KO.8403.11A",16.0954293364671,0.568050472969969
"TCGA.KM.8440.01A",12.5774638431437,-0.51678261295041
"TCGA.KN.8427.11A",16.1040412322424,0.676653472180804
"TCGA.KL.8333.01A",17.2986372623899,-0.00458487220431804
"TCGA.KN.8434.11A",14.5193139497658,0.775430377480332
"TCGA.KO.8407.01A",14.0933912630501,-0.230927868001916
"TCGA.KO.8408.01A",16.6373731248446,-0.196240511794857
"TCGA.KL.8339.11A",15.2700758766115,0.97566812785407
"TCGA.KN.8426.01A",14.2148823050151,-0.296763686161553
"TCGA.KL.8341.01A",13.4131256390022,-0.382206503085205
"TCGA.KM.8476.01A",12.7696267109353,-0.350234010487836
"TCGA.KN.8433.11A",15.3305535616058,0.803113482135889
"TCGA.KL.8328.01A",12.5571703256775,-0.224546854301642
"TCGA.KO.8413.01A",14.8912458911545,0.0445939942100233
"TCGA.KO.8405.01A",17.6275870899246,0.332796154182269
"TCGA.KO.8404.01A",18.9290308395104,-0.0373040125689944
"TCGA.KO.8416.01A",14.534456199435,-0.228005543962588
"TCGA.KL.8344.01A",17.5172379025345,-0.201439648732489
"TCGA.KL.8335.01A",18.0982908655913,-0.407506000620117
"TCGA.KO.8411.01A",11.192284437709,-0.479868801999265
"TCGA.KL.8345.01A",13.0974426732403,-0.478820509792266
"TCGA.KL.8324.01A",13.144513177448,-0.294555507138358
"TCGA.KL.8329.11A",16.2075048086637,0.919582771431386
"TCGA.KO.8415.01A",14.1605548593582,-0.0763961875619181
"TCGA.KL.8337.01A",13.0905074380609,-0.486805701152867
"TCGA.KM.8439.01A",14.1678074588761,-0.270980777907945
"TCGA.KN.8419.01A",14.7075103400658,-0.26091737943337
